contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
Tory.Ford.good.bad	observed	compiled_articles7.txt	0.0	0.0	0.0741	-0.0703	-0.1444
Tory.Ford.good.bad	boot_1	compiled_articles7.txt	0.0	0.0	0.0014	-0.0563	-0.0577
Tory.Ford.good.bad	boot_2	compiled_articles7.txt	0.0	0.0	0.2489	-0.0541	-0.303
Tory.Ford.good.bad	boot_3	compiled_articles7.txt	0.0	0.0	0.0756	0.0788	0.0031999999999999945
Tory.Ford.good.bad	boot_4	compiled_articles7.txt	0.0	0.0	0.0557	-0.039	-0.0947
Tory.Ford.good.bad	boot_5	compiled_articles7.txt	0.0	0.0	-0.0138	-0.0812	-0.06739999999999999
Tory.Ford.good.bad	boot_6	compiled_articles7.txt	0.0	0.0	0.194	0.0385	-0.1555
Tory.Ford.good.bad	boot_7	compiled_articles7.txt	0.0	0.0	0.0163	-0.1134	-0.1297
Tory.Ford.good.bad	boot_8	compiled_articles7.txt	0.0	0.0	0.4194	0.0318	-0.3876
Tory.Ford.good.bad	boot_9	compiled_articles7.txt	0.0	0.0	0.0684	-0.1029	-0.1713
Tory.Ford.good.bad	boot_10	compiled_articles7.txt	0.0	0.0	0.0359	0.106	0.0701
Tory.Ford.good.bad	boot_11	compiled_articles7.txt	0.0	0.0	0.0032	-0.0528	-0.056
Tory.Ford.good.bad	boot_12	compiled_articles7.txt	0.0	0.0	-0.0035	-0.0135	-0.01
Tory.Ford.good.bad	boot_13	compiled_articles7.txt	0.0	0.0	0.169	-0.0929	-0.2619
Tory.Ford.good.bad	boot_14	compiled_articles7.txt	0.0	0.0	-0.089	-0.1383	-0.04930000000000001
Tory.Ford.good.bad	boot_15	compiled_articles7.txt	0.0	0.0	0.0465	-0.0016	-0.0481
Tory.Ford.good.bad	boot_16	compiled_articles7.txt	0.0	0.0	0.0061	-0.0283	-0.0344
Tory.Ford.good.bad	boot_17	compiled_articles7.txt	0.0	0.0	0.0621	0.0459	-0.0162
Tory.Ford.good.bad	boot_18	compiled_articles7.txt	0.0	0.0	0.1317	0.0447	-0.08700000000000002
Tory.Ford.good.bad	boot_19	compiled_articles7.txt	0.0	0.0	-0.0252	-0.1599	-0.1347
Tory.Ford.good.bad	boot_20	compiled_articles7.txt	0.0	0.0	0.4025	0.0139	-0.3886
Tory.Ford.good.bad	boot_21	compiled_articles7.txt	0.0	0.0	-0.0791	-0.1355	-0.056400000000000006
Tory.Ford.good.bad	boot_22	compiled_articles7.txt	0.0	0.0	0.0555	-0.0881	-0.1436
Tory.Ford.good.bad	boot_23	compiled_articles7.txt	0.0	0.0	0.015	0.0093	-0.0057
